ESTADO,DISTRITO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
9,11,RSP,GABRIEL RICARDO ROJAS CERVANTES ,HUGO BRONTYS PÉREZ RAMÍREZ
9,12,PT-MORENA,JOSE UIS RODRÍGUEZ DÍAZ DE LEÓN,FRANCISCO MEDINA PADILLA
9,12,PVEM,NORMA ANGELICA DÍAZ GÓMEZ,CINTHIA CLEMENTE CLEMENTE
9,12,ELIGE,MIGUEL CHAVEZ BENITEZ,CINTHYA MONSERRAT MONTOYA PELCASTRE
9,12,PES,JUAN MANUEL MARTINEZ PEREZ,JUAN SANTIAGO VELAZQUEZ
9,12,FXM,ARMANDO RIOS PITER,ALBERTO ISRAEL ALVAREZ SUAREZ 
9,12,MOVIMIENTO CIUDADANO,AURELIEN BENJAMIN GUILABERT X,HERNY RAYMOND DONNADIEU CAMERA
9,12,PAN-PRI-PRD,MAX IRAIS GONZALEZ CARILLO,KAREN LETICIA CELEDONIO ÁLVAREZ
9,12,RSP,HUGO ENRIQUE LÓPEZ ROMERO,ULISES HOMERO JIMÉNEZ CARMONA
9,12,C-I,ANGELICA MARIA HAHN PABON,QUETZAL CASTRO MONTALVO
9,13,PT-MORENA,ULISES LABRADOR HERNANDEZ MARGO,YAIR FIGUEROA SANDOVAL
9,13,PVEM,PIA DANIELAHERRERA MISTRETTA,ERIKA YAZMIN RODRIGUEZ GUZMAN
